pattern,seed,policy,first_desired_above_one_s,first_ready_above_one_s,desired_to_ready_s
poisson,909,keda,44.39060866399814,49.4162564549988,5.025647791000665
poisson,909,hpa,25.252358515004744,40.136387930004275,14.884029414999532
poisson,808,keda,104.97005847999391,109.91856186599763,4.948503386003722
poisson,808,hpa,31.682331229996635,35.053893837997755,3.3715626080011205
poisson,707,keda,84.97947957599901,95.030543320001,10.051063744001993
poisson,707,hpa,31.671829663999233,34.962137026999706,3.2903073630004727
poisson,606,keda,15.253663426999992,32.50512957200044,17.25146614500045
poisson,606,hpa,44.92377323500113,55.11722461099998,10.193451375998855
poisson,505,keda,74.87689267799942,89.81526985600067,14.938377178001247
poisson,505,hpa,24.48001209799986,34.43197327999951,9.95196118199965
poisson,404,keda,74.93881476899696,89.91274940199946,14.9739346330025
poisson,404,hpa,44.959121943000355,60.03390589999981,15.074783956999454
poisson,303,keda,75.02544234800007,80.00444984299975,4.979007494999678
poisson,303,hpa,20.062709284000448,25.152284728999803,5.089575444999355
poisson,202,keda,45.22407969399865,50.13899894399947,4.914919250000821
poisson,202,hpa,31.494474188999448,44.95085087199914,13.45637668299969
poisson,101,keda,45.08949216900146,50.285606148001534,5.196113979000074
poisson,101,hpa,31.631212317999598,34.8100871429997,3.1788748250001007
mmpp,909,hpa,31.555487497003924,31.555487497003924,0.0
mmpp,808,keda,119.87369619400124,124.90636887500295,5.0326726810017135
mmpp,808,hpa,40.13936788399588,45.05421257699345,4.914844692997569
mmpp,707,keda,120.06478198200055,136.92730713000492,16.862525148004366
mmpp,707,hpa,24.991350973999943,31.61760491899986,6.626253944999917
mmpp,606,keda,60.00528512800156,67.21425123000154,7.208966101999977
mmpp,606,hpa,39.921385961999476,54.95080310099729,15.029417138997815
mmpp,505,keda,31.517655165000185,45.38510262099953,13.867447455999347
mmpp,505,hpa,31.100098811999487,34.50369571099873,3.40359689899924
mmpp,404,keda,19.932273526999776,19.932273526999776,0.0
mmpp,404,hpa,31.708835940000426,44.92181747300128,13.212981533000857
mmpp,303,keda,44.97023684299711,59.874051073999,14.903814231001888
mmpp,303,hpa,44.94076695900003,60.05959684700065,15.118829888000619
mmpp,202,keda,31.495404281002266,45.13807227500001,13.642667993997748
mmpp,202,hpa,31.749243749000023,45.135898665997956,13.386654916997934
mmpp,101,keda,31.56972061800115,31.56972061800115,0.0
mmpp,101,hpa,14.874129809002625,19.925633627000934,5.051503817998309
