pattern,seed,latency_ms_p95_hpa,latency_ms_p95_keda,ready_pod_seconds_hpa,ready_pod_seconds_keda,max_backlog_hpa,max_backlog_keda,drain_after_last_send_s_hpa,drain_after_last_send_s_keda,latency_ms_p95_ratio_keda_hpa,ready_pod_seconds_ratio_keda_hpa,max_backlog_ratio_keda_hpa,drain_after_last_send_s_ratio_keda_hpa
mmpp,101,6535.000000000001,13961.800000000003,604.0690000000001,256.69300000000004,19.0,23.0,0.897,0.927,2.1364651874521807,0.42493986614111967,1.2105263157894737,1.0334448160535117
mmpp,202,12874.999999999996,15001.799999999996,543.066,423.33,34.0,39.0,0.047,0.05,1.1651883495145632,0.7795185115621305,1.1470588235294117,1.0638297872340425
mmpp,303,11762.349999999999,15603.05,490.094,430.62699999999984,35.0,32.0,0.025,0.07,1.3265248866085435,0.8786620525858302,0.9142857142857143,2.8000000000000003
mmpp,404,6089.199999999998,16796.199999999986,431.27299999999997,362.352,11.0,35.0,0.306,0.56,2.7583590619457388,0.8401917115145163,3.1818181818181817,1.8300653594771243
mmpp,505,15446.600000000004,15642.400000000001,513.576,343.78999999999996,48.0,43.0,0.576,1.956,1.0126759286833347,0.669404333535835,0.8958333333333334,3.3958333333333335
mmpp,606,4584.0,16172.0,445.383,439.471,13.0,39.0,0.429,4.258,3.5279232111692846,0.9867260313033951,3.0,9.925407925407926
mmpp,707,3086.1,25718.3,503.0949999999999,289.0780000000001,10.0,74.0,0.872,0.778,8.333592560189235,0.574599230761586,7.4,0.8922018348623854
mmpp,808,2832.25,26088.5,453.15400000000005,284.04,11.0,59.0,1.918,1.544,9.211227822402684,0.6268067809177453,5.363636363636363,0.8050052137643379
poisson,101,8592.499999999995,6500.299999999998,494.39599999999996,230.62699999999998,21.0,14.0,0.314,0.275,0.7565085830666282,0.46648233399946604,0.6666666666666666,0.8757961783439491
poisson,202,6658.449999999991,8049.099999999993,513.143,274.3910000000001,13.0,15.0,0.18,0.168,1.2088549136811126,0.5347261874370304,1.1538461538461537,0.9333333333333335
poisson,303,2359.0,7386.0,540.9780000000002,266.51,5.0,18.0,0.215,5.474,3.1309877066553624,0.49264480256128695,3.6,25.46046511627907
poisson,404,2778.949999999999,7845.149999999993,455.811,244.38099999999997,4.0,16.0,0.013,8.502,2.8230626675542907,0.5361454637996889,4.0,654.0000000000001
poisson,505,2025.5,6229.0,502.36599999999993,311.70300000000003,3.0,10.0,0.592,0.291,3.075290051839052,0.6204699362616102,3.3333333333333335,0.49155405405405406
poisson,606,5124.0999999999985,6747.899999999999,439.23699999999997,220.367,9.0,9.0,0.893,2.564,1.3168946741866865,0.501704091413064,1.0,2.8712206047032476
poisson,707,3605.0,9665.599999999997,549.219,239.34900000000005,12.0,13.0,1.368,2.0,2.681165048543688,0.4357988343447696,1.0833333333333333,1.461988304093567
poisson,808,3046.0999999999967,11609.44999999998,551.318,284.8999999999999,6.0,15.0,0.418,0.408,3.811250451396866,0.5167616511704677,2.5,0.9760765550239234
poisson,909,4578.199999999997,8132.899999999997,572.954,354.54099999999994,9.0,20.0,2.305,2.94,1.7764405224760829,0.6187948770756465,2.2222222222222223,1.2754880694143167
