pattern,seed,policy,fraction_at_1_ready,fraction_at_2_ready,fraction_at_3_ready,fraction_at_4_ready
poisson,909,keda,0.36153055463332245,0.32349080851114803,0.31497863685552957,0.0
poisson,909,hpa,0.2229799329444682,0.08399250971112147,0.0,0.6930275573444103
poisson,808,keda,0.6106586770333202,0.16881670732776297,0.22052461563891687,0.0
poisson,808,hpa,0.19474385465554309,0.13989329703888664,0.03693167390556482,0.6284311744000054
poisson,707,keda,0.6413821911444554,0.3326812020055514,0.025936606849993243,0.0
poisson,707,hpa,0.1942340945944428,0.13948438918889422,0.0,0.666281516216663
poisson,606,keda,0.7565791185610983,0.24342088143890173,0.0,0.0
poisson,606,hpa,0.30620680339444434,0.08374237658889695,0.33322661301667217,0.2768242069999865
poisson,505,keda,0.49897372142222596,0.21129552078331884,0.28973075779445523,0.0
poisson,505,hpa,0.19128874044444172,0.25208569071110104,0.0,0.5566255688444572
poisson,404,keda,0.663912344688894,0.33608765531110596,0.0,0.0
poisson,404,hpa,0.3335216994444434,0.08340214451667029,0.16655092134444405,0.4165252346944423
poisson,303,keda,0.527664606855554,0.47233539314444595,0.0,0.0
poisson,303,hpa,0.13973491516111,0.23065270438890165,0.0,0.6296123804499884
poisson,202,keda,0.4263535849666774,0.5736464150333226,0.0,0.0
poisson,202,hpa,0.2497269492888841,0.12018520805001269,0.046585507977761155,0.5835023346833421
poisson,101,keda,0.6956472286333438,0.30435277136665617,0.0,0.0
poisson,101,hpa,0.19338937301666498,0.2789268494833271,0.0,0.5276837775000079
mmpp,909,hpa,0.17530826387224402,0.29789304957776047,0.0931071588055702,0.4336915277444253
mmpp,808,keda,0.6939242715277942,0.13943907991666088,0.0,0.16663664855554494
mmpp,808,hpa,0.25030118098329696,0.2506928116444517,0.1673002399611304,0.331705767411121
mmpp,707,keda,0.7607072618333607,0.01800166852222497,0.05572367858330836,0.16556739106110602
mmpp,707,hpa,0.17565336066111034,0.07476524653888596,0.5096866707833314,0.2398947220166723
mmpp,606,keda,0.3734125068333419,0.11825469325554473,0.19381846436667224,0.31451433554444114
mmpp,606,hpa,0.30528223944998495,0.08311056794445904,0.3333773099555401,0.2782298826500159
mmpp,505,keda,0.38979562575000776,0.2777888901277644,0.3324154841222278,0.0
mmpp,505,hpa,0.19168719839443737,0.13915001255556692,0.10166642525556284,0.5674963637944329
mmpp,404,keda,0.3354029437444397,0.43048637026667075,0.0,0.2341106859888896
mmpp,404,hpa,0.2495656526277849,0.27934405877777974,0.16671072424998978,0.3043795643444456
mmpp,303,keda,0.3326336170777722,0.15887469466668133,0.19177451548888105,0.3167171727666654
mmpp,303,hpa,0.33366442692778137,0.038016982094450216,0.0,0.6283185909777684
mmpp,202,keda,0.33330211852222014,0.22298000951666633,0.1659260149000046,0.2777918570611089
mmpp,202,hpa,0.2507549925888775,0.027595031083344858,0.0,0.7216499763277776
mmpp,101,keda,0.5085508533055569,0.4914491466944431,0.0,0.0
mmpp,101,hpa,0.11069796459444964,0.08456202370556033,0.0,0.80474001169999
