pattern,metric,pairs,geometric_mean_ratio,median_ratio,ci95_low,ci95_high,keda_lower_count,ties
mmpp,latency_ms_mean,8,2.515146618676732,2.8915835761087836,1.5081561376734376,4.183169764383979,1,0
mmpp,latency_ms_p50,8,2.023388192538062,2.2664449448933706,1.3668908480188298,2.934874277518272,1,0
mmpp,latency_ms_p99,8,2.2039626704809487,2.1393950056923448,1.334374400363402,3.7844887646033696,2,0
mmpp,queue_wait_ms_p50,8,16.254317669576007,23.176829268292686,4.544507730921238,53.47493069210683,1,0
mmpp,queue_wait_ms_p95,8,3.005579593865766,2.5120330365051964,1.6391996258062211,5.9179631165582895,1,0
mmpp,queue_wait_ms_p99,8,2.2857406193543017,2.1033191820942814,1.3336527287151994,4.166191114370852,2,0
mmpp,backlog_message_seconds,8,2.580011381571272,2.1754482212661106,1.4349687382432843,5.175940715962426,1,0
mmpp,max_backlog,8,2.134492298556933,2.1052631578947367,1.268777059857297,3.7475255235613165,2,0
mmpp,scale_out_ready_s,8,1.3696973971889321,1.257540252485581,0.8909299237558623,2.101787041356522,2,0
mmpp,peak_ready_replicas,8,0.8846142040667466,1.0,0.7438689130822451,1.0,2,6
poisson,latency_ms_mean,9,2.1244365873193494,2.4665634220693478,1.7337294270087436,2.555315568478468,0,0
poisson,latency_ms_p50,9,2.1211727502326108,2.0126091173617846,1.8151333547982513,2.486082249278685,0,0
poisson,latency_ms_p99,9,1.9816497466845082,2.365457197089075,1.4814024058196797,2.6506516895423706,0,0
poisson,queue_wait_ms_p50,9,27.100975661043385,55.0,9.27570477160765,69.09981744175072,0,0
poisson,queue_wait_ms_p95,9,2.816051104704348,3.167488368863274,1.663967959462985,4.844418056618698,1,0
poisson,queue_wait_ms_p99,9,2.201389534782411,2.3402367085106017,1.5357342106349507,3.1978680712386196,0,0
poisson,backlog_message_seconds,9,2.1340613629057423,2.1385145369111447,1.6659245038415658,2.7164939409917377,0,0
poisson,max_backlog,9,1.8228635679242058,2.2222222222222223,1.210308839225351,2.714417616594907,1,1
poisson,scale_out_ready_s,9,1.675066748215138,1.4783963574127297,1.174056562189186,2.3224572185450416,1,0
poisson,peak_ready_replicas,9,0.5987324355742017,0.5,0.5230409593216073,0.685377546480434,9,0
