pattern,seed,jobs,empirical_rate,inter_arrival_cv,high_state_arrival_fraction,max_arrivals_1s,max_arrivals_5s,max_arrivals_15s,max_arrivals_30s
mmpp,101,295,1.6388888888888888,1.9378915900544582,0.8711864406779661,10,27,53,85
mmpp,202,293,1.6277777777777778,1.8267165399032703,0.7849829351535836,11,27,60,81
mmpp,303,260,1.4444444444444444,2.022890238151979,0.823076923076923,9,30,68,109
mmpp,404,283,1.5722222222222222,2.02273843280694,0.8515901060070671,11,31,66,100
mmpp,505,275,1.5277777777777777,1.91357097255388,0.850909090909091,12,29,68,112
mmpp,606,296,1.6444444444444444,1.9406279937849515,0.8648648648648649,11,29,51,84
mmpp,707,299,1.6611111111111112,1.899813171510229,0.842809364548495,12,34,78,120
mmpp,808,296,1.6444444444444444,1.9896656477944281,0.8547297297297297,12,34,80,121
mmpp,909,310,1.7222222222222223,1.818679200980082,0.8096774193548387,12,36,78,103
poisson,101,283,1.5722222222222222,0.9930091193435271,,8,19,40,63
poisson,202,288,1.6,1.0483361961784305,,7,18,39,64
poisson,303,271,1.5055555555555555,0.9984979470378065,,7,17,40,62
poisson,404,284,1.5777777777777777,1.025429155381707,,6,17,35,59
poisson,505,271,1.5055555555555555,0.9905391013177117,,7,16,32,59
poisson,606,287,1.5944444444444446,0.9898070043175974,,6,15,33,59
poisson,707,317,1.761111111111111,0.9867420253700477,,6,15,38,65
poisson,808,308,1.711111111111111,0.9872814684523136,,8,16,40,63
poisson,909,327,1.8166666666666667,0.9779287791356567,,7,19,41,68
