timestamp,elapsed_s,producer_started,desired_replicas,ready_replicas,available_replicas,pending_pods,unschedulable_pods,pod_restarts,all_nodes_ready,input_visible,input_inflight,result_visible,result_inflight
2026-08-31T21:10:23.026+00:00,4.212763253002777,0,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:10:25.843+00:00,7.0299915639989194,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:10:30.826+00:00,12.013100568998198,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:10:35.833+00:00,17.020075264001207,1,1,1,1,0,0,0,1,0,0,1,2
2026-08-31T21:10:40.865+00:00,22.05218042300112,1,1,1,1,0,0,0,1,0,0,0,1
2026-08-31T21:10:45.869+00:00,27.056199960999948,1,1,1,1,0,0,0,1,8,1,0,0
2026-08-31T21:10:50.921+00:00,32.10773608300224,1,1,1,1,0,0,0,1,9,1,0,0
2026-08-31T21:10:57.534+00:00,38.72206739900139,1,1,1,1,0,0,0,1,2,1,0,0
2026-08-31T21:11:00.833+00:00,42.02041285199812,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:05.879+00:00,47.06638677600131,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:10.891+00:00,52.0791896419978,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:15.842+00:00,57.02942546099803,1,1,1,1,0,0,0,1,0,1,0,0
2026-08-31T21:11:20.850+00:00,62.03808357700473,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:25.842+00:00,67.03080780099845,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:32.477+00:00,73.66584040500311,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:35.888+00:00,77.07694729800278,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:40.856+00:00,82.0450129880046,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:46.003+00:00,87.19176389700442,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:51.090+00:00,92.28036051100207,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:11:55.798+00:00,96.9884406889978,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:12:00.846+00:00,102.03615936099959,1,1,1,1,0,0,0,1,0,0,0,1
2026-08-31T21:12:07.675+00:00,108.86544897800195,1,1,1,1,0,0,0,1,30,1,0,0
2026-08-31T21:12:10.861+00:00,112.05113254600292,1,1,1,1,0,0,0,1,19,1,0,0
2026-08-31T21:12:15.900+00:00,117.09094860500045,1,1,1,1,0,0,0,1,29,1,0,0
2026-08-31T21:12:20.836+00:00,122.0263745150005,1,1,1,1,0,0,0,1,52,1,0,0
2026-08-31T21:12:25.903+00:00,127.09477354599949,1,2,1,1,0,0,0,1,67,1,0,0
2026-08-31T21:12:30.828+00:00,132.01974301500013,1,2,1,1,0,0,0,1,35,1,0,0
2026-08-31T21:12:35.844+00:00,137.03503796400037,1,2,1,1,0,0,0,1,68,2,0,1
2026-08-31T21:12:42.766+00:00,143.95729869400384,1,4,2,2,0,0,0,1,53,2,3,0
2026-08-31T21:12:46.006+00:00,147.19759902800433,1,4,3,3,0,0,0,1,52,2,2,1
2026-08-31T21:12:50.959+00:00,152.15038518299843,1,4,3,3,0,0,0,1,28,4,0,1
2026-08-31T21:12:56.035+00:00,157.22786117299984,1,4,4,4,0,0,0,1,68,2,8,1
2026-08-31T21:13:00.987+00:00,162.17970393299765,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T21:13:05.969+00:00,167.16188204300124,1,4,4,4,0,0,0,1,0,0,3,0
2026-08-31T21:13:11.038+00:00,172.23049353199895,1,4,4,4,0,0,0,1,72,2,0,1
2026-08-31T21:13:17.701+00:00,178.8941617599994,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T21:13:21.104+00:00,182.2983616450001,1,4,4,4,0,0,0,1,0,0,6,1
2026-08-31T21:13:26.004+00:00,187.1980235029987,1,4,4,4,0,0,0,1,5,4,0,0
2026-08-31T21:13:31.050+00:00,192.2437793499994,1,4,4,4,0,0,0,1,3,4,2,0
2026-08-31T21:13:35.944+00:00,197.13770276599826,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T21:13:40.978+00:00,202.17199227100355,1,3,4,3,0,0,0,1,0,0,0,0
2026-08-31T21:13:46.012+00:00,207.2056221169987,1,3,3,3,0,0,0,1,0,0,0,0
2026-08-31T21:13:52.682+00:00,213.87684501900367,1,3,3,3,0,0,0,1,5,4,0,0
2026-08-31T21:13:55.952+00:00,217.1471329929991,1,3,3,3,0,0,0,1,0,0,11,0
2026-08-31T21:14:00.987+00:00,222.18253560000448,1,3,3,3,0,0,0,1,0,0,0,0
2026-08-31T21:14:05.991+00:00,227.18624746500427,1,3,3,3,0,0,0,1,0,0,0,0
2026-08-31T21:14:11.016+00:00,232.2106905690016,1,2,3,2,0,0,0,1,0,0,0,0
2026-08-31T21:14:15.845+00:00,237.0397318460018,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:14:20.832+00:00,242.02701535099914,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:14:27.556+00:00,248.75289980700472,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:14:30.852+00:00,252.04902888499782,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:14:35.809+00:00,257.0057812880041,1,2,2,2,0,0,0,1,0,0,0,0
