schema_version,experiment_id,job_id,trace_offset_s,producer_sent_at,sqs_sent_at,worker_received_at,processing_started_at,processing_finished_at,result_sent_at,service_cpu_seconds,processing_wall_seconds,pod_name,node_name,digest,receive_count,queue_wait_ms,end_to_end_ms
1,keda-poisson-101-489cca80,000000,0.543905,2026-08-31T18:37:16.092+00:00,2026-08-31T18:37:12.406+00:00,2026-08-31T18:37:12.414+00:00,2026-08-31T18:37:12.414+00:00,2026-08-31T18:37:12.692+00:00,2026-08-31T18:37:12.692+00:00,0.129847,0.2775044219997653,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,1f0501c6c33fe3b791ecf7b4d8a45d232cc40106da2caec2910f0dfda5155ede,1,8.0,286.0
1,keda-poisson-101-489cca80,000001,0.679285,2026-08-31T18:37:16.226+00:00,2026-08-31T18:37:13.029+00:00,2026-08-31T18:37:13.033+00:00,2026-08-31T18:37:13.033+00:00,2026-08-31T18:37:14.895+00:00,2026-08-31T18:37:14.895+00:00,0.773882,1.861858019000465,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,9d5c79ff2e120fbf95683f88a7e9c45e987d12bc5f26723efc1856d6e7db42fb,1,4.0,1866.0
1,keda-poisson-101-489cca80,000002,2.779039,2026-08-31T18:37:18.328+00:00,2026-08-31T18:37:14.637+00:00,2026-08-31T18:37:14.967+00:00,2026-08-31T18:37:14.967+00:00,2026-08-31T18:37:14.981+00:00,2026-08-31T18:37:14.981+00:00,0.013638,0.013675543000317703,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,988c633df307a0d28780d8e83128822223be134bfaf57407efa46001c2902120,1,330.0,344.0
1,keda-poisson-101-489cca80,000003,4.389484,2026-08-31T18:37:19.937+00:00,2026-08-31T18:37:16.244+00:00,2026-08-31T18:37:16.251+00:00,2026-08-31T18:37:16.251+00:00,2026-08-31T18:37:17.383+00:00,2026-08-31T18:37:17.383+00:00,0.474336,1.1321003620005285,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,95b964b8c488277a747ebdc60794f0616a1c20662bdeefd75ee16880e4e3f98a,1,7.0,1139.0
1,keda-poisson-101-489cca80,000004,4.782918,2026-08-31T18:37:20.330+00:00,2026-08-31T18:37:16.637+00:00,2026-08-31T18:37:17.399+00:00,2026-08-31T18:37:17.399+00:00,2026-08-31T18:37:17.509+00:00,2026-08-31T18:37:17.509+00:00,0.062039,0.11059439800010296,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,d2be741a90119d739d82e11907e2d126c7808c24c9b71e477b254e8b23adb68e,1,762.0,872.0
1,keda-poisson-101-489cca80,000007,5.771151,2026-08-31T18:37:21.318+00:00,2026-08-31T18:37:17.630+00:00,2026-08-31T18:37:17.730+00:00,2026-08-31T18:37:17.730+00:00,2026-08-31T18:37:17.994+00:00,2026-08-31T18:37:17.994+00:00,0.127701,0.2646526629996515,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,9693f08f26d26ee7aed3673a7283342ce80702e7ad3d4fd170e76a1a8fc6c2ff,1,100.0,364.0
1,keda-poisson-101-489cca80,000006,5.614502,2026-08-31T18:37:21.161+00:00,2026-08-31T18:37:17.467+00:00,2026-08-31T18:37:17.537+00:00,2026-08-31T18:37:17.537+00:00,2026-08-31T18:37:17.598+00:00,2026-08-31T18:37:17.598+00:00,0.024536,0.06111287800013088,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,4106c3bb646697ec8e600c99223dacdf69ce5370912802acf758d1e1418c4e0c,1,70.0,131.0
1,keda-poisson-101-489cca80,000005,5.463587,2026-08-31T18:37:21.011+00:00,2026-08-31T18:37:17.318+00:00,2026-08-31T18:37:17.615+00:00,2026-08-31T18:37:17.615+00:00,2026-08-31T18:37:17.682+00:00,2026-08-31T18:37:17.682+00:00,0.019922,0.06695553999998083,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,d8fb1225fc937be69456db0e93737c30b81c14d040493eb6282a479774ebf3d6,1,297.0,364.0
1,keda-poisson-101-489cca80,000008,5.983908,2026-08-31T18:37:21.530+00:00,2026-08-31T18:37:17.838+00:00,2026-08-31T18:37:18.037+00:00,2026-08-31T18:37:18.037+00:00,2026-08-31T18:37:18.610+00:00,2026-08-31T18:37:18.610+00:00,0.251471,0.5730317249999644,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,3524b6ac38655a5bda997cc25fa357f619667b1b407f1ed05637d83a995f0c77,1,199.0,772.0
1,keda-poisson-101-489cca80,000009,6.720801,2026-08-31T18:37:22.268+00:00,2026-08-31T18:37:18.574+00:00,2026-08-31T18:37:18.674+00:00,2026-08-31T18:37:18.674+00:00,2026-08-31T18:37:18.688+00:00,2026-08-31T18:37:18.688+00:00,0.013846,0.01388630700057547,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,fc187b45d7b742d2c8c883897fd538dd16664b0487094384b8300cc021cd9554,1,100.0,114.0
1,keda-poisson-101-489cca80,000010,6.870011,2026-08-31T18:37:22.416+00:00,2026-08-31T18:37:18.724+00:00,2026-08-31T18:37:18.730+00:00,2026-08-31T18:37:18.730+00:00,2026-08-31T18:37:18.879+00:00,2026-08-31T18:37:18.879+00:00,0.067149,0.14943148600013956,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,9a139b37917504c2e4b08878bb84220bbd9c5f85ca53d4345629178ca92f9c36,1,6.0,155.0
1,keda-poisson-101-489cca80,000011,9.085085,2026-08-31T18:37:24.634+00:00,2026-08-31T18:37:20.942+00:00,2026-08-31T18:37:20.947+00:00,2026-08-31T18:37:20.947+00:00,2026-08-31T18:37:21.201+00:00,2026-08-31T18:37:21.201+00:00,0.137286,0.25407592699957604,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,4a1d609debdc22c7d45792428f1355c8e80b7794b459f4238142d2474e4c1683,1,5.0,259.0
1,keda-poisson-101-489cca80,000012,9.130681,2026-08-31T18:37:24.677+00:00,2026-08-31T18:37:20.994+00:00,2026-08-31T18:37:21.215+00:00,2026-08-31T18:37:21.215+00:00,2026-08-31T18:37:22.782+00:00,2026-08-31T18:37:22.782+00:00,0.616851,1.5673368139996455,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,44936224bc8afb618497a685366c362a94f70f2471ba4e68386018a3788da928,1,221.0,1788.0
1,keda-poisson-101-489cca80,000016,10.526665,2026-08-31T18:37:26.072+00:00,2026-08-31T18:37:22.378+00:00,2026-08-31T18:37:22.804+00:00,2026-08-31T18:37:22.804+00:00,2026-08-31T18:37:23.111+00:00,2026-08-31T18:37:23.111+00:00,0.144349,0.3069746910005051,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,2807741f8f84ae15f63aa197d9aa1c6a9372b4820f9b640054adef0b3bbbf866,1,426.0,733.0
1,keda-poisson-101-489cca80,000018,11.172055,2026-08-31T18:37:26.717+00:00,2026-08-31T18:37:23.026+00:00,2026-08-31T18:37:23.263+00:00,2026-08-31T18:37:23.263+00:00,2026-08-31T18:37:23.302+00:00,2026-08-31T18:37:23.302+00:00,0.035424,0.03926021499955823,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,0004cf6e73fc2111ba59745c5227c821fafec75e3aced08755531d04ad7de96a,1,237.0,276.0
1,keda-poisson-101-489cca80,000014,9.323087,2026-08-31T18:37:24.868+00:00,2026-08-31T18:37:21.173+00:00,2026-08-31T18:37:23.322+00:00,2026-08-31T18:37:23.322+00:00,2026-08-31T18:37:23.386+00:00,2026-08-31T18:37:23.386+00:00,0.019499,0.06388171400067222,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,8a07fba594dd93eed2683ccf67e96f93debd4f375cc67cbd70fc41f480a5066e,1,2149.0,2213.0
1,keda-poisson-101-489cca80,000017,10.925451,2026-08-31T18:37:26.471+00:00,2026-08-31T18:37:22.778+00:00,2026-08-31T18:37:23.175+00:00,2026-08-31T18:37:23.175+00:00,2026-08-31T18:37:23.202+00:00,2026-08-31T18:37:23.202+00:00,0.027515,0.02755522600000404,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,9259d13970968ef3062f57db0b2ff61e2674e8044ff0e7cab9522e35c6ad9f34,1,397.0,424.0
1,keda-poisson-101-489cca80,000013,9.264923,2026-08-31T18:37:24.810+00:00,2026-08-31T18:37:21.119+00:00,2026-08-31T18:37:23.410+00:00,2026-08-31T18:37:23.410+00:00,2026-08-31T18:37:24.592+00:00,2026-08-31T18:37:24.592+00:00,0.482361,1.1819063650000317,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,b8ad4c0d0b482b2ca5cf0df6fce3c63ab8619d7a48f2d8057cb23d0eba445769,1,2291.0,3473.0
1,keda-poisson-101-489cca80,000019,11.806136,2026-08-31T18:37:27.351+00:00,2026-08-31T18:37:23.661+00:00,2026-08-31T18:37:24.616+00:00,2026-08-31T18:37:24.616+00:00,2026-08-31T18:37:24.701+00:00,2026-08-31T18:37:24.701+00:00,0.045573,0.08590861700031382,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,1ba7c4e17473863c4ad40d776351e3c56b6aa66c82b74ee49d6e309eea2d65a5,1,955.0,1040.0
1,keda-poisson-101-489cca80,000020,12.129472,2026-08-31T18:37:27.675+00:00,2026-08-31T18:37:23.990+00:00,2026-08-31T18:37:24.740+00:00,2026-08-31T18:37:24.740+00:00,2026-08-31T18:37:25.086+00:00,2026-08-31T18:37:25.086+00:00,0.141218,0.3461683699997593,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,35667a9c5104fc16efe0561e9cd08fb93daa8eaafc0514ef0de2f03621bf0a12,1,750.0,1096.0
1,keda-poisson-101-489cca80,000022,12.626923,2026-08-31T18:37:28.172+00:00,2026-08-31T18:37:24.514+00:00,2026-08-31T18:37:25.126+00:00,2026-08-31T18:37:25.126+00:00,2026-08-31T18:37:25.489+00:00,2026-08-31T18:37:25.489+00:00,0.157511,0.36229203099992446,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,ed5c54739a5dd6e804a63313b83ef5694aeb9b03d46a67231cbe988842ff05dd,1,612.0,975.0
