timestamp,elapsed_s,producer_started,desired_replicas,ready_replicas,available_replicas,pending_pods,unschedulable_pods,pod_restarts,all_nodes_ready,input_visible,input_inflight,result_visible,result_inflight
2026-08-31T21:23:11.227+00:00,4.362558556000295,0,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:23:14.078+00:00,7.213996142003452,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:23:19.580+00:00,12.71603621000395,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:23:24.020+00:00,17.15640613999858,1,1,1,1,0,0,0,1,2,1,0,0
2026-08-31T21:23:29.139+00:00,22.275171025001328,1,1,1,1,0,0,0,1,2,1,0,1
2026-08-31T21:23:34.028+00:00,27.165053746997728,1,1,1,1,0,0,0,1,0,0,0,1
2026-08-31T21:23:39.073+00:00,32.20974819800176,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:23:45.851+00:00,38.98742630099878,1,1,1,1,0,0,0,1,2,1,0,1
2026-08-31T21:23:48.924+00:00,42.06059162400197,1,1,1,1,0,0,0,1,0,1,0,0
2026-08-31T21:23:54.030+00:00,47.16832158699981,1,1,1,1,0,0,0,1,5,1,0,0
2026-08-31T21:23:59.034+00:00,52.17246400399745,1,1,1,1,0,0,0,1,10,1,0,0
2026-08-31T21:24:04.118+00:00,57.25661286400282,1,1,1,1,0,0,0,1,2,1,0,0
2026-08-31T21:24:09.052+00:00,62.190878421999514,1,1,1,1,0,0,0,1,8,1,0,0
2026-08-31T21:24:14.134+00:00,67.27217607099738,1,1,1,1,0,0,0,1,10,1,0,0
2026-08-31T21:24:20.667+00:00,73.80527850100043,1,1,1,1,0,0,0,1,7,1,0,1
2026-08-31T21:24:23.906+00:00,77.0452897590003,1,1,1,1,0,0,0,1,5,0,0,0
2026-08-31T21:24:28.933+00:00,82.07185398299771,1,1,1,1,0,0,0,1,3,1,0,0
2026-08-31T21:24:33.919+00:00,87.05851016000088,1,1,1,1,0,0,0,1,3,1,0,0
2026-08-31T21:24:39.046+00:00,92.1847699850041,1,1,1,1,0,0,0,1,14,1,0,0
2026-08-31T21:24:44.068+00:00,97.20689835499797,1,1,1,1,0,0,0,1,14,1,0,0
2026-08-31T21:24:49.080+00:00,102.21927063899784,1,1,1,1,0,0,0,1,14,1,0,0
2026-08-31T21:24:55.709+00:00,108.84920712999883,1,1,1,1,0,0,0,1,14,1,0,0
2026-08-31T21:24:59.043+00:00,112.18405462199735,1,2,1,1,0,0,0,1,0,0,0,0
2026-08-31T21:25:03.992+00:00,117.13255800800107,1,2,2,2,0,0,0,1,0,2,1,0
2026-08-31T21:25:08.947+00:00,122.08743509899796,1,2,2,2,0,0,0,1,11,1,0,2
2026-08-31T21:25:13.954+00:00,127.0944335000022,1,2,2,2,0,0,0,1,11,1,1,0
2026-08-31T21:25:19.018+00:00,132.1589563029993,1,2,2,2,0,0,0,1,0,1,0,0
2026-08-31T21:25:23.979+00:00,137.12088685700292,1,2,2,2,0,0,0,1,0,1,0,1
2026-08-31T21:25:31.991+00:00,145.1329738610002,1,3,2,2,0,0,0,1,5,2,0,0
2026-08-31T21:25:34.378+00:00,147.51956532699842,1,3,3,3,0,0,0,1,4,2,1,0
2026-08-31T21:25:39.921+00:00,153.062534192999,1,3,3,3,0,0,0,1,0,0,0,1
2026-08-31T21:25:44.418+00:00,157.55962197500048,1,3,3,3,0,0,0,1,0,3,0,0
2026-08-31T21:25:49.413+00:00,162.55500046700035,1,3,3,3,0,0,0,1,0,3,1,1
2026-08-31T21:25:54.390+00:00,167.53285462799977,1,3,3,3,0,0,0,1,0,0,1,0
2026-08-31T21:25:59.286+00:00,172.4296738050034,1,3,3,3,0,0,0,1,0,2,0,1
2026-08-31T21:26:06.084+00:00,179.22715473599965,1,3,3,3,0,0,0,1,0,0,3,1
2026-08-31T21:26:09.339+00:00,182.48201731099834,1,3,3,3,0,0,0,1,0,1,0,1
2026-08-31T21:26:14.409+00:00,187.55273742900317,1,3,3,3,0,0,0,1,0,0,0,1
2026-08-31T21:26:19.350+00:00,192.49365246300295,1,3,3,3,0,0,0,1,0,0,0,0
2026-08-31T21:26:24.447+00:00,197.59121259699896,1,3,3,3,0,0,0,1,0,0,1,1
2026-08-31T21:26:29.440+00:00,202.5851185010033,1,2,3,2,0,0,0,1,0,0,0,0
2026-08-31T21:26:34.286+00:00,207.4308299980039,1,2,2,2,0,0,0,1,0,0,3,1
2026-08-31T21:26:40.844+00:00,213.9885637719999,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:26:44.278+00:00,217.42228688300384,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:26:52.387+00:00,225.5333918039978,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:26:55.465+00:00,228.6113335570044,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T21:26:59.881+00:00,233.0275554330001,1,1,2,1,0,0,0,1,0,0,0,0
