schema_version,experiment_id,job_id,trace_offset_s,producer_sent_at,sqs_sent_at,worker_received_at,processing_started_at,processing_finished_at,result_sent_at,service_cpu_seconds,processing_wall_seconds,pod_name,node_name,digest,receive_count,queue_wait_ms,end_to_end_ms
1,hpa-poisson-909-8fa3df7f,000000,0.14414,2026-08-31T22:31:24.929+00:00,2026-08-31T22:31:24.886+00:00,2026-08-31T22:31:24.894+00:00,2026-08-31T22:31:24.894+00:00,2026-08-31T22:31:25.597+00:00,2026-08-31T22:31:25.597+00:00,0.294492,0.7035821489989758,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,3911d93bde304dd3f8bd1bd498bafd3e0872e47c5ba122d78441bf0a2ae03cbf,1,8.0,711.0
1,hpa-poisson-909-8fa3df7f,000001,0.460751,2026-08-31T22:31:25.245+00:00,2026-08-31T22:31:25.202+00:00,2026-08-31T22:31:25.631+00:00,2026-08-31T22:31:25.631+00:00,2026-08-31T22:31:26.296+00:00,2026-08-31T22:31:26.296+00:00,0.274526,0.6651272029994288,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,dd9dd9b4a6aab016dd3ecc2a87e7be46cc3b62c6ee84aac8cbc254c008efb7c7,1,429.0,1094.0
1,hpa-poisson-909-8fa3df7f,000002,1.515307,2026-08-31T22:31:26.300+00:00,2026-08-31T22:31:26.798+00:00,2026-08-31T22:31:26.802+00:00,2026-08-31T22:31:26.802+00:00,2026-08-31T22:31:27.609+00:00,2026-08-31T22:31:27.609+00:00,0.346718,0.8078008890006458,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,537488200599a3aae1cbf2d4aaf85717d36d2c50758eaf64728c8160d661d61b,1,4.0,811.0
1,hpa-poisson-909-8fa3df7f,000004,2.583846,2026-08-31T22:31:27.368+00:00,2026-08-31T22:31:27.334+00:00,2026-08-31T22:31:27.639+00:00,2026-08-31T22:31:27.639+00:00,2026-08-31T22:31:27.910+00:00,2026-08-31T22:31:27.910+00:00,0.116446,0.27089537900246796,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,bf3d6304d9a6acc54a2a36fe00b8af7e5d887928828a3b4557b95c2850873188,1,305.0,576.0
1,hpa-poisson-909-8fa3df7f,000003,1.684123,2026-08-31T22:31:26.468+00:00,2026-08-31T22:31:26.945+00:00,2026-08-31T22:31:27.940+00:00,2026-08-31T22:31:27.940+00:00,2026-08-31T22:31:28.797+00:00,2026-08-31T22:31:28.797+00:00,0.342358,0.8562221909996879,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,133c0a57098670df217f6160a941d7c7581d79ad2355733fb4524ce8a2a25b0c,1,995.0,1852.0
1,hpa-poisson-909-8fa3df7f,000006,3.09111,2026-08-31T22:31:27.875+00:00,2026-08-31T22:31:27.829+00:00,2026-08-31T22:31:28.832+00:00,2026-08-31T22:31:28.832+00:00,2026-08-31T22:31:30.401+00:00,2026-08-31T22:31:30.401+00:00,0.492747,1.5688522719974571,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,1e765ae33235a0ab90dd6a265ead1d60c133a41348b7c97093236437146b5c13,1,1002.9999999999999,2572.0
1,hpa-poisson-909-8fa3df7f,000005,2.797211,2026-08-31T22:31:27.581+00:00,2026-08-31T22:31:27.534+00:00,2026-08-31T22:31:30.587+00:00,2026-08-31T22:31:30.587+00:00,2026-08-31T22:31:30.593+00:00,2026-08-31T22:31:30.593+00:00,0.006562,0.0066353700021863915,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,6b7d68168a2ff3c2451a4bfe92b6d7693a59bdc30c7c32ed5f85adacec7ad20c,1,3053.0,3059.0
1,hpa-poisson-909-8fa3df7f,000007,6.153977,2026-08-31T22:31:30.940+00:00,2026-08-31T22:31:30.893+00:00,2026-08-31T22:31:30.898+00:00,2026-08-31T22:31:30.898+00:00,2026-08-31T22:31:31.092+00:00,2026-08-31T22:31:31.092+00:00,0.03766,0.19402654000077746,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,1944f0701ad58560dd7b0a4a0b5fcaff5dc8db3c27417e329eb15870e0129828,1,5.0,199.0
1,hpa-poisson-909-8fa3df7f,000008,6.605149,2026-08-31T22:31:31.389+00:00,2026-08-31T22:31:31.350+00:00,2026-08-31T22:31:31.387+00:00,2026-08-31T22:31:31.387+00:00,2026-08-31T22:31:31.395+00:00,2026-08-31T22:31:31.395+00:00,0.008601,0.008674566000991035,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,72fdfbac141c5ace65abc363e17ba24f5bde2d70e269c07202abda235d9cf330,1,37.0,45.0
1,hpa-poisson-909-8fa3df7f,000009,6.774223,2026-08-31T22:31:31.558+00:00,2026-08-31T22:31:31.514+00:00,2026-08-31T22:31:31.518+00:00,2026-08-31T22:31:31.518+00:00,2026-08-31T22:31:32.997+00:00,2026-08-31T22:31:32.997+00:00,0.572764,1.47876705499948,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,181ca271abec7e57d7557fe868b0088505416afaf40855dc3bb9c461bcde26c7,1,4.0,1483.0
